g u-g g-r g-i g-z mux muy HRV UU VV WW Px Mv CL Typ Teff logg Pop Age Mass Mbol Radius [M/H] [a/Fe] longitude latitude RAJ2000 DECJ2000 Dist x_Gal y_Gal z_Gal Av errPx errMux errMuy errHrv errMv errMass errAge errTeff errLogg errMet errAlphaFe errBand_g errBand_u errBand_r errBand_i errBand_z
18.074 2.995 1.324 2.362 2.971 -33.776 -15.801 -2.98 18.25 9.68 -13.28 0.00712 11.49 5 7.3 3443.0 5.04 5 4.0351 0.333 9.828 0.276 -0.058 0.024 238.579163 -48.938759 60.422092 -36.644512 0.1404 -8.0481 -0.0787 -0.0909 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
17.945 2.83 1.368 2.397 2.885 52.997 32.905 17.62 -39.85 -21.07 10.29 0.00693 11.28 5 7.25 3537.0 4.82 3 1.2748 0.415 9.695 0.286 -0.221 -0.051 238.376724 -49.619995 59.572418 -36.51804 0.1443 -8.049 -0.0796 -0.0949 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
17.919 2.719 1.399 2.355 2.843 -7.616 46.854 -0.49 -26.19 21.71 -3.49 0.00651 11.09 5 7.25 3497.0 4.87 7 8.8215 0.227 9.61 0.292 -0.16 0.027 238.762329 -48.972511 60.38147 -36.765106 0.1536 -8.0523 -0.0862 -0.1009 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
22.729 3.179 1.45 3.049 3.923 13.566 0.052 13.99 -7.48 -11.63 -3.01 0.00656 15.86 5 7.55 3029.0 5.3 2 0.0873 0.111 12.715 0.095 0.044 0.009 238.595612 -49.757446 59.401718 -36.660038 0.1525 -8.0513 -0.0841 -0.1014 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
18.725 0.607 -0.029 -0.053 -0.169 -28.863 -47.126 6.2 36.05 -6.86 -18.2 0.00641 12.75 6 9.1 8522.0 8.1 4 2.4437 0.345 12.73 0.011 0.166 0.001 238.465546 -49.11689 60.199184 -36.571949 0.1561 -8.0534 -0.0871 -0.103 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
22.566 3.205 1.409 2.969 3.873 -4.073 -1.16 2.96 2.04 -0.19 -2.88 0.00559 15.4 5 7.5 2993.0 5.08 2 0.0002 0.025 12.501 0.103 0.175 0.02 239.84314 -49.301437 59.968243 -37.471947 0.1789 -8.0586 -0.1008 -0.1206 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
22.015 3.205 1.442 2.894 3.728 19.637 11.6 37.2 -27.52 -26.39 -16.1 0.00557 14.83 5 7.5 3081.0 4.94 4 2.3769 0.192 11.984 0.126 -0.192 0.026 238.859879 -49.065147 60.266365 -36.829758 0.1795 -8.0608 -0.1006 -0.1206 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
21.137 2.977 1.426 2.842 3.655 34.952 37.992 29.5 -47.73 -19.25 -2.9 0.00581 14.03 5 7.45 3082.0 5.19 4 2.4371 0.123 11.536 0.151 -0.025 0.005 238.616409 -49.171494 60.132275 -36.671135 0.1722 -8.0586 -0.0961 -0.1153 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
20.229 3.053 1.444 2.683 3.419 21.632 51.243 18.05 -47.58 0.3 -2.98 0.00601 13.22 5 7.4 3231.0 4.95 2 0.0329 0.3 10.816 0.201 -0.228 -0.0 238.889862 -49.286266 59.990181 -36.850307 0.1664 -8.0561 -0.0929 -0.1112 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
20.488 2.973 1.394 2.709 3.46 -6.51 31.988 0.16 -20.63 17.86 -4.18 0.00558 13.35 5 7.4 3150.0 5.0 5 3.9739 0.076 10.816 0.201 0.228 -0.009 238.873489 -49.163761 60.143204 -36.83918 0.1792 -8.0606 -0.1003 -0.1206 0.0 0.0 1.0 1.0 2.0 0.0 0.1 0.1 50.0 0.1 0.1 0.02 0.02 0.02 0.02 0.02 0.02
